TABLE,FILE
chaashto,chaashto.txt
chconsistence,chconsis.txt
chdesgnsuffix,chdsuffx.txt
chfrags,chfrags.txt
chorizon,chorizon.txt
chpores,chpores.txt
chstruct,chstr.txt
chstructgrp,chstrgrp.txt
chtext,chtext.txt
chtexture,chtextur.txt
chtexturegrp,chtexgrp.txt
chtexturemod,chtexmod.txt
chunified,chunifie.txt
cocanopycover,ccancov.txt
cocropyld,ccrpyd.txt
codiagfeatures,cdfeat.txt
coecoclass,cecoclas.txt
coeplants,ceplants.txt
coerosionacc,cerosnac.txt
coforprod,cfprod.txt
coforprodo,cfprodo.txt
cogeomordesc,cgeomord.txt
cohydriccriteria,chydcrit.txt
cointerp,cinterp.txt
comonth,cmonth.txt
component,comp.txt
copm,cpmat.txt
copmgrp,cpmatgrp.txt
copwindbreak,cpwndbrk.txt
corestrictions,crstrcts.txt
cosoilmoist,csmoist.txt
cosoiltemp,cstemp.txt
cosurffrags,csfrags.txt
cosurfmorphgc,csmorgc.txt
cosurfmorphhpp,csmorhpp.txt
cosurfmorphmr,csmormr.txt
cosurfmorphss,csmorss.txt
cotaxfmmin,ctxfmmin.txt
cotaxmoistcl,ctxmoicl.txt
cotext,ctext.txt
cotreestomng,ctreestm.txt
cotxfmother,ctxfmoth.txt
distinterpmd,distimd.txt
distlegendmd,distlmd.txt
distmd,distmd.txt
featdesc,featdesc.txt
featline,featline.txt
featpoint,featpoin.txt
laoverlap,lareao.txt
legend,legend.txt
legendtext,ltext.txt
mapunit,mapunit.txt
mdstatdomdet,msdomdet.txt
mdstatdommas,msdommas.txt
mdstatidxdet,msidxdet.txt
mdstatidxmas,msidxmas.txt
mdstatrshipdet,msrsdet.txt
mdstatrshipmas,msrsmas.txt
mdstattabcols,mstabcol.txt
mdstattabs,mstab.txt
muaggatt,muaggatt.txt
muaoverlap,muareao.txt
mucropyld,mucrpyd.txt
muline,muline.txt
mupoint,mupoint.txt
mupolygon,mupoly.txt
mutext,mutext.txt
sacatalog,sacatlog.txt
sainterp,sainterp.txt
sapolygon,sapoly.txt
